source_id,mc_id_1,mc_id_2,mc_id_3,mc_id_4,particle_name_raw,particle_name_norm,mass_GeV_c2,mass_MeV_c2,mass_pos_error_GeV_c2,mass_pos_error_MeV_c2,mass_neg_error_GeV_c2,mass_neg_error_MeV_c2,width_GeV,width_MeV,width_pos_error_GeV,width_pos_error_MeV,width_neg_error_GeV,width_neg_error_MeV,unit_assumption,raw_line,cleaned_utc
PDG_MASS_WIDTH_2025,21,,,,g 0,g 0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,21                          0.E+00            +0.0E+00 -0.0E+00  0.E+00            +0.0E+00 -0.0E+00 g                   0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,22,,,,gamma 0,gamma 0,0,0,0,0,-0,-0,0,0,0,0,-0,-0,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,22                          0.E+00            +0.0E+00 -0.0E+00  0.E+00            +0.0E+00 -0.0E+00 gamma               0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,24,,,,W +,w +,80.369,80369,0.013,13,-0.013,-13,2.14,2140,0.05,50,-0.05,-50,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,24                          8.0369E+01        +1.3E-02 -1.3E-02  2.14E+00          +5.0E-02 -5.0E-02 W                   +,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,23,,,,Z 0,z 0,91.188,91188,0.002,2,-0.002,-2,2.4955,2495.5,0.0023,2.3,-0.0023,-2.3,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,23                          9.11880E+01       +2.0E-03 -2.0E-03  2.4955E+00        +2.3E-03 -2.3E-03 Z                   0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,25,,,,H 0,h 0,125.2,125200,0.11,110,-0.11,-110,0.0037,3.7,0.0019,1.9,-0.0014,-1.4,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,25                          1.2520E+02        +1.1E-01 -1.1E-01  3.7E-03           +1.9E-03 -1.4E-03 H                   0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,11,,,,e -,e -,0.00051099895,0.51099895,1.5e-13,1.5e-10,-1.5e-13,-1.5e-10,0,0,0,0,-0,-0,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,11                          5.1099895000E-04  +1.5E-13 -1.5E-13  0.E+00            +0.0E+00 -0.0E+00 e                   -,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,12,,,,nu(e) 0,nu(e) 0,,,,,,,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,12                                                                                                   nu(e)               0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,13,,,,mu -,mu -,0.1056583755,105.6583755,2.3e-09,2.3e-06,-2.3e-09,-2.3e-06,2.9959836e-19,2.9959836e-16,3e-25,3e-22,-3e-25,-3e-22,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,13                          1.056583755E-01   +2.3E-09 -2.3E-09  2.9959836E-19     +3.0E-25 -3.0E-25 mu                  -,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,14,,,,nu(mu) 0,nu(mu) 0,,,,,,,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,14                                                                                                   nu(mu)              0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,15,,,,tau -,tau -,1.77693,1776.93,9e-05,0.09,-9e-05,-0.09,2.267e-12,2.267e-09,4e-15,4e-12,-4e-15,-4e-12,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,15                          1.77693E+00       +9.0E-05 -9.0E-05  2.267E-12         +4.0E-15 -4.0E-15 tau                 -,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,16,,,,nu(tau) 0,nu(tau) 0,,,,,,,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,16                                                                                                   nu(tau)             0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,2,,,,u +2/3,u +2/3,0.00216,2.16,7e-05,0.07,-7e-05,-0.07,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,2                          2.16E-03          +7.0E-05 -7.0E-05                                      u                +2/3,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,1,,,,d -1/3,d -1/3,0.0047,4.7,7e-05,0.07,-7e-05,-0.07,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,1                          4.70E-03          +7.0E-05 -7.0E-05                                      d                -1/3,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,3,,,,s -1/3,s -1/3,0.0935,93.5,0.0008,0.8,-0.0008,-0.8,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,3                          9.35E-02          +8.0E-04 -8.0E-04                                      s                -1/3,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,4,,,,c +2/3,c +2/3,1.273,1273,0.005,5,-0.005,-5,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,4                          1.273E+00         +5.0E-03 -5.0E-03                                      c                +2/3,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,5,,,,b -1/3,b -1/3,4.183,4183,0.007,7,-0.007,-7,,,,,,,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,5                          4.183E+00         +7.0E-03 -7.0E-03                                      b                -1/3,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,6,,,,t +2/3,t +2/3,172.56,172560,0.31,310,-0.31,-310,1.42,1420,0.19,190,-0.15,-150,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,6                          1.7256E+02        +3.1E-01 -3.1E-01  1.42E+00          +1.9E-01 -1.5E-01 t                +2/3,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,211,,,,pi +,pi +,0.13957039,139.57039,1.8e-07,0.00018,-1.8e-07,-0.00018,2.5284e-17,2.5284e-14,5e-21,5e-18,-5e-21,-5e-18,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,211                          1.3957039E-01     +1.8E-07 -1.8E-07  2.5284E-17        +5.0E-21 -5.0E-21 pi                  +,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,111,,,,pi 0,pi 0,0.1349768,134.9768,5e-07,0.0005,-5e-07,-0.0005,7.81e-09,7.81e-06,1.2e-10,1.2e-07,-1.2e-10,-1.2e-07,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,111                          1.349768E-01      +5.0E-07 -5.0E-07  7.81E-09          +1.2E-10 -1.2E-10 pi                  0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,221,,,,eta 0,eta 0,0.547862,547.862,1.7e-05,0.017,-1.7e-05,-0.017,1.31e-06,0.00131,5e-08,5e-05,-5e-08,-5e-05,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,221                          5.47862E-01       +1.7E-05 -1.7E-05  1.31E-06          +5.0E-08 -5.0E-08 eta                 0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9000221,,,,f(0)(500) 0,f(0)(500) 0,0.6,600,0.2,200,-0.2,-200,0.45,450,0.35,350,-0.35,-350,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,9000221                          6.0E-01           +2.0E-01 -2.0E-01  4.5E-01           +3.5E-01 -3.5E-01 f(0)(500)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,113,,,,rho(770) 0,rho(770) 0,0.77526,775.26,0.00023,0.23,-0.00023,-0.23,0.1474,147.4,0.0008,0.8,-0.0008,-0.8,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,113                          7.7526E-01        +2.3E-04 -2.3E-04  1.474E-01         +8.0E-04 -8.0E-04 rho(770)            0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,213,,,,rho(770) +,rho(770) +,0.77511,775.11,0.00034,0.34,-0.00034,-0.34,0.1491,149.1,0.0008,0.8,-0.0008,-0.8,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,213                          7.7511E-01        +3.4E-04 -3.4E-04  1.491E-01         +8.0E-04 -8.0E-04 rho(770)            +,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,223,,,,omega(782) 0,omega(782) 0,0.78266,782.66,0.00013,0.13,-0.00013,-0.13,0.00868,8.68,0.00013,0.13,-0.00013,-0.13,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,223                          7.8266E-01        +1.3E-04 -1.3E-04  8.68E-03          +1.3E-04 -1.3E-04 omega(782)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,331,,,,eta'(958) 0,eta'(958) 0,0.95778,957.78,6e-05,0.06,-6e-05,-0.06,0.000188,0.188,6e-06,0.006,-6e-06,-0.006,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,331                          9.5778E-01        +6.0E-05 -6.0E-05  1.88E-04          +6.0E-06 -6.0E-06 eta'(958)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9010221,,,,f(0)(980) 0,f(0)(980) 0,0.99,990,0.02,20,-0.02,-20,0.06,60,0.05,50,-0.05,-50,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,9010221                          9.90E-01          +2.0E-02 -2.0E-02  6.E-02            +5.0E-02 -5.0E-02 f(0)(980)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9000111,9000211,,,"a(0)(980) 0,+","a(0)(980) 0,+",0.98,980,0.02,20,-0.02,-20,0.075,75,0.025,25,-0.025,-25,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"9000111 9000211                  9.80E-01          +2.0E-02 -2.0E-02  7.5E-02           +2.5E-02 -2.5E-02 a(0)(980)         0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,333,,,,phi(1020) 0,phi(1020) 0,1.01946,1019.46,1.6e-05,0.016,-1.6e-05,-0.016,0.004249,4.249,1.3e-05,0.013,-1.3e-05,-0.013,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,333                          1.019460E+00      +1.6E-05 -1.6E-05  4.249E-03         +1.3E-05 -1.3E-05 phi(1020)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10223,,,,h(1)(1170) 0,h(1)(1170) 0,1.166,1166,0.006,6,-0.006,-6,0.375,375,0.035,35,-0.035,-35,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,10223                          1.166E+00         +6.0E-03 -6.0E-03  3.75E-01          +3.5E-02 -3.5E-02 h(1)(1170)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10113,10213,,,"b(1)(1235) 0,+","b(1)(1235) 0,+",1.2295,1229.5,0.0032,3.2,-0.0032,-3.2,0.142,142,0.009,9,-0.009,-9,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"10113   10213                  1.2295E+00        +3.2E-03 -3.2E-03  1.42E-01          +9.0E-03 -9.0E-03 b(1)(1235)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,20113,20213,,,"a(1)(1260) 0,+","a(1)(1260) 0,+",1.23,1230,0.04,40,-0.04,-40,0.42,420,0.18,180,-0.18,-180,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"20113   20213                  1.23E+00          +4.0E-02 -4.0E-02  4.2E-01           +1.8E-01 -1.8E-01 a(1)(1260)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,225,,,,f(2)(1270) 0,f(2)(1270) 0,1.2754,1275.4,0.0008,0.8,-0.0008,-0.8,0.1866,186.6,0.0028,2.8,-0.0022,-2.2,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,225                          1.2754E+00        +8.0E-04 -8.0E-04  1.866E-01         +2.8E-03 -2.2E-03 f(2)(1270)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,20223,,,,f(1)(1285) 0,f(1)(1285) 0,1.2818,1281.8,0.0005,0.5,-0.0005,-0.5,0.023,23,0.0011,1.1,-0.0011,-1.1,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,20223                          1.2818E+00        +5.0E-04 -5.0E-04  2.30E-02          +1.1E-03 -1.1E-03 f(1)(1285)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100221,,,,eta(1295) 0,eta(1295) 0,1.294,1294,0.004,4,-0.004,-4,0.055,55,0.005,5,-0.005,-5,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,100221                          1.294E+00         +4.0E-03 -4.0E-03  5.5E-02           +5.0E-03 -5.0E-03 eta(1295)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100111,100211,,,"pi(1300) 0,+","pi(1300) 0,+",1.3,1300,0.1,100,-0.1,-100,0.4,400,0.2,200,-0.2,-200,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"100111  100211                  1.30E+00          +1.0E-01 -1.0E-01  4.0E-01           +2.0E-01 -2.0E-01 pi(1300)          0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,115,215,,,"a(2)(1320) 0,+","a(2)(1320) 0,+",1.3182,1318.2,0.0006,0.6,-0.0006,-0.6,0.107,107,0.005,5,-0.005,-5,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"115     215                  1.3182E+00        +6.0E-04 -6.0E-04  1.07E-01          +5.0E-03 -5.0E-03 a(2)(1320)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10221,,,,f(0)(1370) 0,f(0)(1370) 0,1.35,1350,0.15,150,-0.15,-150,0.35,350,0.15,150,-0.15,-150,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,10221                          1.35E+00          +1.5E-01 -1.5E-01  3.5E-01           +1.5E-01 -1.5E-01 f(0)(1370)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9020221,,,,eta(1405) 0,eta(1405) 0,1.4087,1408.7,0.002,2,-0.0012,-1.2,0.0503,50.3,0.0025,2.5,-0.0025,-2.5,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,9020221                          1.4087E+00        +2.0E-03 -1.2E-03  5.03E-02          +2.5E-03 -2.5E-03 eta(1405)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10333,,,,h(1)(1415) 0,h(1)(1415) 0,1.409,1409,0.009,9,-0.008,-8,0.078,78,0.011,11,-0.011,-11,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,10333                          1.409E+00         +9.0E-03 -8.0E-03  7.8E-02           +1.1E-02 -1.1E-02 h(1)(1415)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,20333,,,,f(1)(1420) 0,f(1)(1420) 0,1.4284,1428.4,0.0015,1.5,-0.0013,-1.3,0.0567,56.7,0.0033,3.3,-0.0033,-3.3,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,20333                          1.4284E+00        +1.5E-03 -1.3E-03  5.67E-02          +3.3E-03 -3.3E-03 f(1)(1420)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100223,,,,omega(1420) 0,omega(1420) 0,1.41,1410,0.06,60,-0.06,-60,0.29,290,0.19,190,-0.19,-190,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,100223                          1.41E+00          +6.0E-02 -6.0E-02  2.9E-01           +1.9E-01 -1.9E-01 omega(1420)         0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10111,10211,,,"a(0)(1450) 0,+","a(0)(1450) 0,+",1.439,1439,0.034,34,-0.034,-34,0.258,258,0.014,14,-0.014,-14,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"10111   10211                  1.439E+00         +3.4E-02 -3.4E-02  2.58E-01          +1.4E-02 -1.4E-02 a(0)(1450)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100113,100213,,,"rho(1450) 0,+","rho(1450) 0,+",1.465,1465,0.025,25,-0.025,-25,0.4,400,0.06,60,-0.06,-60,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"100113  100213                  1.465E+00         +2.5E-02 -2.5E-02  4.0E-01           +6.0E-02 -6.0E-02 rho(1450)         0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100331,,,,eta(1475) 0,eta(1475) 0,1.476,1476,0.004,4,-0.004,-4,0.096,96,0.009,9,-0.009,-9,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,100331                          1.476E+00         +4.0E-03 -4.0E-03  9.6E-02           +9.0E-03 -9.0E-03 eta(1475)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9030221,,,,f(0)(1500) 0,f(0)(1500) 0,1.522,1522,0.025,25,-0.025,-25,0.108,108,0.033,33,-0.033,-33,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,9030221                          1.522E+00         +2.5E-02 -2.5E-02  1.08E-01          +3.3E-02 -3.3E-02 f(0)(1500)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,335,,,,f(2)'(1525) 0,f(2)'(1525) 0,1.5173,1517.3,0.0024,2.4,-0.0024,-2.4,0.072,72,0.007,7,-0.006,-6,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,335                          1.5173E+00        +2.4E-03 -2.4E-03  7.2E-02           +7.0E-03 -6.0E-03 f(2)'(1525)         0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9010225,,,,f(2)(1565) 0,f(2)(1565) 0,1.571,1571,0.013,13,-0.013,-13,0.133,133,0.023,23,-0.023,-23,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,9010225                          1.571E+00         +1.3E-02 -1.3E-02  1.33E-01          +2.3E-02 -2.3E-02 f(2)(1565)          0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9010113,9010213,,,"pi(1)(1600) 0,+","pi(1)(1600) 0,+",1.645,1645,0.04,40,-0.017,-17,0.37,370,0.05,50,-0.06,-60,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"9010113 9010213                  1.645E+00         +4.0E-02 -1.7E-02  3.7E-01           +5.0E-02 -6.0E-02 pi(1)(1600)       0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9020113,9020213,,,"a(1)(1640) 0,+","a(1)(1640) 0,+",1.655,1655,0.016,16,-0.016,-16,0.25,250,0.04,40,-0.04,-40,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"9020113 9020213                  1.655E+00         +1.6E-02 -1.6E-02  2.5E-01           +4.0E-02 -4.0E-02 a(1)(1640)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10225,,,,eta(2)(1645) 0,eta(2)(1645) 0,1.617,1617,0.005,5,-0.005,-5,0.181,181,0.011,11,-0.011,-11,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,10225                          1.617E+00         +5.0E-03 -5.0E-03  1.81E-01          +1.1E-02 -1.1E-02 eta(2)(1645)        0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,30223,,,,omega(1650) 0,omega(1650) 0,1.67,1670,0.03,30,-0.03,-30,0.315,315,0.035,35,-0.035,-35,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,30223                          1.670E+00         +3.0E-02 -3.0E-02  3.15E-01          +3.5E-02 -3.5E-02 omega(1650)         0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,227,,,,omega(3)(1670) 0,omega(3)(1670) 0,1.667,1667,0.004,4,-0.004,-4,0.168,168,0.01,10,-0.01,-10,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,227                          1.667E+00         +4.0E-03 -4.0E-03  1.68E-01          +1.0E-02 -1.0E-02 omega(3)(1670)      0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10115,10215,,,"pi(2)(1670) 0,+","pi(2)(1670) 0,+",1.6706,1670.6,0.0029,2.9,-0.0012,-1.2,0.258,258,0.008,8,-0.009,-9,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"10115   10215                  1.6706E+00        +2.9E-03 -1.2E-03  2.58E-01          +8.0E-03 -9.0E-03 pi(2)(1670)       0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,100333,,,,phi(1680) 0,phi(1680) 0,1.68,1680,0.02,20,-0.02,-20,0.15,150,0.05,50,-0.05,-50,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,100333                          1.680E+00         +2.0E-02 -2.0E-02  1.5E-01           +5.0E-02 -5.0E-02 phi(1680)           0,2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,117,217,,,"rho(3)(1690) 0,+","rho(3)(1690) 0,+",1.6888,1688.8,0.0021,2.1,-0.0021,-2.1,0.161,161,0.01,10,-0.01,-10,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"117     217                  1.6888E+00        +2.1E-03 -2.1E-03  1.61E-01          +1.0E-02 -1.0E-02 rho(3)(1690)      0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,30113,30213,,,"rho(1700) 0,+","rho(1700) 0,+",1.72,1720,0.02,20,-0.02,-20,0.25,250,0.1,100,-0.1,-100,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"30113   30213                  1.720E+00         +2.0E-02 -2.0E-02  2.5E-01           +1.0E-01 -1.0E-01 rho(1700)         0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,9000115,9000215,,,"a(2)(1700) 0,+","a(2)(1700) 0,+",1.706,1706,0.014,14,-0.014,-14,0.38,380,0.06,60,-0.05,-50,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,"9000115 9000215                  1.706E+00         +1.4E-02 -1.4E-02  3.8E-01           +6.0E-02 -5.0E-02 a(2)(1700)        0,+",2026-06-01T21:38:11+00:00
PDG_MASS_WIDTH_2025,10331,,,,f(0)(1710) 0,f(0)(1710) 0,1.733,1733,0.008,8,-0.007,-7,0.15,150,0.012,12,-0.01,-10,PDG mass_width raw mass and width values treated as GeV; converted to MeV by multiplying by 1000.,10331                          1.733E+00         +8.0E-03 -7.0E-03  1.50E-01          +1.2E-02 -1.0E-02 f(0)(1710)          0,2026-06-01T21:38:11+00:00
