candidate_id,source_id,data_url,offline_decision,offline_score,offline_reasons,probe_success,probe_content_type,download_attempted,success,download_status,http_status,content_type,content_length,validation_message,size_bytes,sha256,output_file,error,started_utc,finished_utc
CERN_OPENDATA_API_DELPHI_001,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/about-delphi,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,4095,1ff5c98fc6b1226b53b94d90eccfbb28c5ccac8fce581b17264191af033a8d1b,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_001__about-delphi.dat,,2026-06-03T20:33:11+00:00,2026-06-03T20:33:12+00:00
CERN_OPENDATA_API_DELPHI_002,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,http://opendata.cern.ch/schema/records/docs-v1.0.0.json,shortlist,10,filelike_extension;good_data_hint;delphi_or_eventshape_context;cern_domain,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,2675,9af47153594c8245d59aaec741c477889d9794c7cab5861a488d45ec1944e81f,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_002__docs-v1.0.0.json,,2026-06-03T20:33:13+00:00,2026-06-03T20:33:13+00:00
CERN_OPENDATA_API_DELPHI_009,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/delphi-guide-simulation,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,9285,99aaa56510bbdf029833e7bd729439cb4100b43eebccf2ded80f63db34ded409,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_009__delphi-guide-simulation.dat,,2026-06-03T20:33:14+00:00,2026-06-03T20:33:15+00:00
CERN_OPENDATA_API_DELPHI_012,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/delphi-getting-started,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,9215,2fa765fd71f20bc6790977087f88e14688bc287bab24a8e936b307749e3c3cf4,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_012__delphi-getting-started.dat,,2026-06-03T20:33:15+00:00,2026-06-03T20:33:16+00:00
CERN_OPENDATA_API_DELPHI_024,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/delphi-guide-delgra,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,3552,8597cd6da00f825e8da1dbbaee510fcf8a47a43baa95268e54542af0c2764d29,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_024__delphi-guide-delgra.dat,,2026-06-03T20:33:17+00:00,2026-06-03T20:33:18+00:00
CERN_OPENDATA_API_DELPHI_026,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/delphi-guide-docker,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,5903,32e2e94e29717179722ffefe0ee4475d7e1bdef0e113a4046942914a5ddb2f8e,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_026__delphi-guide-docker.dat,,2026-06-03T20:33:18+00:00,2026-06-03T20:33:19+00:00
CERN_OPENDATA_API_DELPHI_032,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/delphi-data-release-2024,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,3330,db16280e19a9c68938d5101faa3cb8033637857fe55f378157a902c8f914712f,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_032__delphi-data-release-2024.dat,,2026-06-03T20:33:20+00:00,2026-06-03T20:33:21+00:00
CERN_OPENDATA_API_DELPHI_036,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/delphi-guide-eventserver,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,2670,1e266535f614fd383015cec71f9184004e574f325720e07c0d1f6ba133f4f5c6,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_036__delphi-guide-eventserver.dat,,2026-06-03T20:33:21+00:00,2026-06-03T20:33:22+00:00
CERN_OPENDATA_API_DELPHI_038,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/delphi-guide-analysis,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,11437,f8c6d21bf51297612fc360c613313909e37be7acbac3ab451f918af73e93bb49,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_038__delphi-guide-analysis.dat,,2026-06-03T20:33:23+00:00,2026-06-03T20:33:24+00:00
CERN_OPENDATA_API_DELPHI_044,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/delphi-guide-cvmfs,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,3023,78d11ce86330ef29661ca64a81457d691a2d7cbb2e66b356227e5a84d67c3e7e,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_044__delphi-guide-cvmfs.dat,,2026-06-03T20:33:24+00:00,2026-06-03T20:33:25+00:00
CERN_OPENDATA_API_DELPHI_052,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/docs/ten-years-of-cern-open-data-portal,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,7900,76c8e2e81727875716584b9f9d6493b87b5cc675fb3f629acb441e028c00d443,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_052__ten-years-of-cern-open-data-portal.dat,,2026-06-03T20:33:26+00:00,2026-06-03T20:33:27+00:00
CERN_OPENDATA_API_DELPHI_081,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/records/80501,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,3122,c49c2276f50b1b5f5480cdbf12b9ac6eb757edf194526fc5fb03767a545c9302,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_081__80501.dat,,2026-06-03T20:33:27+00:00,2026-06-03T20:33:28+00:00
CERN_OPENDATA_API_DELPHI_082,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,http://opendata.cern.ch/schema/records/record-v1.0.0.json,shortlist,10,filelike_extension;good_data_hint;delphi_or_eventshape_context;cern_domain,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,28125,a80e60516bec7e33db1b0c319fcd7d87a9d14e77701a536e51880ee3c66d039b,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_082__record-v1.0.0.json,,2026-06-03T20:33:29+00:00,2026-06-03T20:33:30+00:00
CERN_OPENDATA_API_DELPHI_083,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/records/80050,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,163431,785f46e939e6c2b8c8a656598eb7249775f94a09fd47040470de191ac32f2ad7,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_083__80050.dat,,2026-06-03T20:33:30+00:00,2026-06-03T20:33:32+00:00
CERN_OPENDATA_API_DELPHI_085,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/records/80509,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,6545,d576dba6b56d06d8f393376b82729665ee6a2a074ccf7f21135a412b2306d32a,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_085__80509.dat,,2026-06-03T20:33:33+00:00,2026-06-03T20:33:33+00:00
CERN_OPENDATA_API_DELPHI_090,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/records/85171,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,8677,b9f429a36eabdddb6b75882ac65eb8b892633fe06b1c9daac6aa62050c4cf07e,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_090__85171.dat,,2026-06-03T20:33:34+00:00,2026-06-03T20:33:35+00:00
CERN_OPENDATA_API_DELPHI_095,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/records/88627,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,5724,9e819bbb347f59e4de5134721736fdb360ca1bbfe679946c22bf2e081076ccf0,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_095__88627.dat,,2026-06-03T20:33:36+00:00,2026-06-03T20:33:36+00:00
CERN_OPENDATA_API_DELPHI_100,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/records/87861,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,7696,76b426a595fe5d16c16c57d647ddd5002fe15622aa3b3c51a9429fa8417f7f1e,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_100__87861.dat,,2026-06-03T20:33:37+00:00,2026-06-03T20:33:38+00:00
CERN_OPENDATA_API_DELPHI_103,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/records/91778,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,23895,6e11021d62aa7d93e0b03d0571d3b8d5fc49175ec769e43a31b6839431c5359e,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_103__91778.dat,,2026-06-03T20:33:39+00:00,2026-06-03T20:33:40+00:00
CERN_OPENDATA_API_DELPHI_108,DELPHI_OPEN_DATA_THRUST_EEC_NOTE_2025,https://opendata.cern.ch/api/records/91776,shortlist_probe_filelike_content,6,no_extension;good_data_hint;delphi_or_eventshape_context;cern_domain;probe_filelike_content_type,True,application/json,True,True,downloaded,200,,,allowed_content_type:application/json,44967,9cc63dcf53efc1d34078dacb2af45811abb001800b56764f43d7bc6b86e9031b,D:\Paper\Dimensional_Structural_Describability\Strong_interaction\data\raw\source_tables\02\event_raw_shortlist_downloads\CERN_OPENDATA_API_DELPHI_108__91776.dat,,2026-06-03T20:33:40+00:00,2026-06-03T20:33:41+00:00
