candidate_id,candidate_url,file_uuid,file_extension,score,reasons,http_status_original,error_original,validation_message_original,initial_failure_reason,probe_attempted,probe_success,probe_method,probe_http_status,probe_content_type,probe_content_length,probe_final_url,probe_error,probe_interpretation,recommended_next_action,created_utc
META_538334774344,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat,e398a139-5c13-4145-afa1-b50846654932,.dat,12,data_extension;event_or_dst_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:20+00:00
META_712422268602,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?uploads,e398a139-5c13-4145-afa1-b50846654932,.dat,12,data_extension;event_or_dst_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:22+00:00
META_763216684675,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBmisc.dat?versionId=48fa3b2a-3065-43d0-b4d1-d167723f3a8e,e398a139-5c13-4145-afa1-b50846654932,.dat,12,data_extension;event_or_dst_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:24+00:00
META_174638866639,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBcalb.dat,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:25+00:00
META_714763861291,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBcalb.dat?uploads,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:27+00:00
META_440590586222,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBcalb.dat?versionId=043d0227-8d54-4c7a-b5db-e695c4859c03,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:29+00:00
META_257505219060,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBgeom.dat,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:31+00:00
META_989642664462,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBgeom.dat?uploads,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:32+00:00
META_425707954883,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBgeom.dat?versionId=5e67924f-112e-4e80-914b-a7a0c5c29294,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:34+00:00
META_628475089163,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBlepm.dat,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:36+00:00
META_475141159445,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBlepm.dat?uploads,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:38+00:00
META_821194792163,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBlepm.dat?versionId=0e88b88c-b910-4799-84d6-77ca034bdf63,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:39+00:00
META_730207565525,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBrunt.dat,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:41+00:00
META_508084997634,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBrunt.dat?uploads,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:43+00:00
META_816575910096,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBrunt.dat?versionId=aba9e856-a07c-45f3-94ea-cd1c2578b72d,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:45+00:00
META_516384708148,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBscon.dat,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:46+00:00
META_249164633163,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBscon.dat?uploads,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:48+00:00
META_459901350024,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBscon.dat?versionId=08374a60-d071-4533-b3e5-437176ebc8a6,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:50+00:00
META_251664509216,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBsysf.dat,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:52+00:00
META_626899844203,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBsysf.dat?uploads,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:53+00:00
META_142869397078,https://opendata.cern.ch/api/files/e398a139-5c13-4145-afa1-b50846654932/DBsysf.dat?versionId=9e6b1383-4ec9-4803-b13f-16d7515d27ff,e398a139-5c13-4145-afa1-b50846654932,.dat,9,data_extension;event_or_dst_hint;support_or_doc_hint;cern_api_files_endpoint,404,HTTPError 404: NOT FOUND,,http_404_missing_or_not_direct_file,True,False,HEAD_then_range_GET,,,,,HEAD:HTTPError:HTTP Error 404: NOT FOUND; RANGE_GET:HTTPError:HTTP Error 404: NOT FOUND,probe_failed,manual_review,2026-06-03T23:52:55+00:00
