source_id,mc_id_1,mc_id_2,mc_id_3,mc_id_4,mass_value_raw,mass_pos_error_raw,mass_neg_error_raw,width_value_raw,width_pos_error_raw,width_neg_error_raw,particle_name_raw,raw_line,unit_note
PDG_MASS_WIDTH_2025,21,,,,0.E+00,+0.0E+00,-0.0E+00,0.E+00,+0.0E+00,-0.0E+00,g                   0,      21                          0.E+00            +0.0E+00 -0.0E+00  0.E+00            +0.0E+00 -0.0E+00 g                   0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,22,,,,0.E+00,+0.0E+00,-0.0E+00,0.E+00,+0.0E+00,-0.0E+00,gamma               0,      22                          0.E+00            +0.0E+00 -0.0E+00  0.E+00            +0.0E+00 -0.0E+00 gamma               0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,24,,,,8.0369E+01,+1.3E-02,-1.3E-02,2.14E+00,+5.0E-02,-5.0E-02,W                   +,      24                          8.0369E+01        +1.3E-02 -1.3E-02  2.14E+00          +5.0E-02 -5.0E-02 W                   +,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,23,,,,9.11880E+01,+2.0E-03,-2.0E-03,2.4955E+00,+2.3E-03,-2.3E-03,Z                   0,      23                          9.11880E+01       +2.0E-03 -2.0E-03  2.4955E+00        +2.3E-03 -2.3E-03 Z                   0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,25,,,,1.2520E+02,+1.1E-01,-1.1E-01,3.7E-03,+1.9E-03,-1.4E-03,H                   0,      25                          1.2520E+02        +1.1E-01 -1.1E-01  3.7E-03           +1.9E-03 -1.4E-03 H                   0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,11,,,,5.1099895000E-04,+1.5E-13,-1.5E-13,0.E+00,+0.0E+00,-0.0E+00,e                   -,      11                          5.1099895000E-04  +1.5E-13 -1.5E-13  0.E+00            +0.0E+00 -0.0E+00 e                   -,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,12,,,,,,,,,,nu(e)               0,      12                                                                                                   nu(e)               0      ,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,13,,,,1.056583755E-01,+2.3E-09,-2.3E-09,2.9959836E-19,+3.0E-25,-3.0E-25,mu                  -,      13                          1.056583755E-01   +2.3E-09 -2.3E-09  2.9959836E-19     +3.0E-25 -3.0E-25 mu                  -,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,14,,,,,,,,,,nu(mu)              0,      14                                                                                                   nu(mu)              0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,15,,,,1.77693E+00,+9.0E-05,-9.0E-05,2.267E-12,+4.0E-15,-4.0E-15,tau                 -,      15                          1.77693E+00       +9.0E-05 -9.0E-05  2.267E-12         +4.0E-15 -4.0E-15 tau                 -,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,16,,,,,,,,,,nu(tau)             0,      16                                                                                                   nu(tau)             0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,2,,,,2.16E-03,+7.0E-05,-7.0E-05,,,,u                +2/3,       2                          2.16E-03          +7.0E-05 -7.0E-05                                      u                +2/3,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,1,,,,4.70E-03,+7.0E-05,-7.0E-05,,,,d                -1/3,       1                          4.70E-03          +7.0E-05 -7.0E-05                                      d                -1/3,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,3,,,,9.35E-02,+8.0E-04,-8.0E-04,,,,s                -1/3,       3                          9.35E-02          +8.0E-04 -8.0E-04                                      s                -1/3,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,4,,,,1.273E+00,+5.0E-03,-5.0E-03,,,,c                +2/3,       4                          1.273E+00         +5.0E-03 -5.0E-03                                      c                +2/3,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,5,,,,4.183E+00,+7.0E-03,-7.0E-03,,,,b                -1/3,       5                          4.183E+00         +7.0E-03 -7.0E-03                                      b                -1/3,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,6,,,,1.7256E+02,+3.1E-01,-3.1E-01,1.42E+00,+1.9E-01,-1.5E-01,t                +2/3,       6                          1.7256E+02        +3.1E-01 -3.1E-01  1.42E+00          +1.9E-01 -1.5E-01 t                +2/3,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,211,,,,1.3957039E-01,+1.8E-07,-1.8E-07,2.5284E-17,+5.0E-21,-5.0E-21,pi                  +,     211                          1.3957039E-01     +1.8E-07 -1.8E-07  2.5284E-17        +5.0E-21 -5.0E-21 pi                  +,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,111,,,,1.349768E-01,+5.0E-07,-5.0E-07,7.81E-09,+1.2E-10,-1.2E-10,pi                  0,     111                          1.349768E-01      +5.0E-07 -5.0E-07  7.81E-09          +1.2E-10 -1.2E-10 pi                  0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,221,,,,5.47862E-01,+1.7E-05,-1.7E-05,1.31E-06,+5.0E-08,-5.0E-08,eta                 0,     221                          5.47862E-01       +1.7E-05 -1.7E-05  1.31E-06          +5.0E-08 -5.0E-08 eta                 0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9000221,,,,6.0E-01,+2.0E-01,-2.0E-01,4.5E-01,+3.5E-01,-3.5E-01,f(0)(500)           0, 9000221                          6.0E-01           +2.0E-01 -2.0E-01  4.5E-01           +3.5E-01 -3.5E-01 f(0)(500)           0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,113,,,,7.7526E-01,+2.3E-04,-2.3E-04,1.474E-01,+8.0E-04,-8.0E-04,rho(770)            0,     113                          7.7526E-01        +2.3E-04 -2.3E-04  1.474E-01         +8.0E-04 -8.0E-04 rho(770)            0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,213,,,,7.7511E-01,+3.4E-04,-3.4E-04,1.491E-01,+8.0E-04,-8.0E-04,rho(770)            +,     213                          7.7511E-01        +3.4E-04 -3.4E-04  1.491E-01         +8.0E-04 -8.0E-04 rho(770)            +,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,223,,,,7.8266E-01,+1.3E-04,-1.3E-04,8.68E-03,+1.3E-04,-1.3E-04,omega(782)          0,     223                          7.8266E-01        +1.3E-04 -1.3E-04  8.68E-03          +1.3E-04 -1.3E-04 omega(782)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,331,,,,9.5778E-01,+6.0E-05,-6.0E-05,1.88E-04,+6.0E-06,-6.0E-06,eta'(958)           0,     331                          9.5778E-01        +6.0E-05 -6.0E-05  1.88E-04          +6.0E-06 -6.0E-06 eta'(958)           0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9010221,,,,9.90E-01,+2.0E-02,-2.0E-02,6.E-02,+5.0E-02,-5.0E-02,f(0)(980)           0, 9010221                          9.90E-01          +2.0E-02 -2.0E-02  6.E-02            +5.0E-02 -5.0E-02 f(0)(980)           0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9000111,9000211,,,9.80E-01,+2.0E-02,-2.0E-02,7.5E-02,+2.5E-02,-2.5E-02,"a(0)(980)         0,+"," 9000111 9000211                  9.80E-01          +2.0E-02 -2.0E-02  7.5E-02           +2.5E-02 -2.5E-02 a(0)(980)         0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,333,,,,1.019460E+00,+1.6E-05,-1.6E-05,4.249E-03,+1.3E-05,-1.3E-05,phi(1020)           0,     333                          1.019460E+00      +1.6E-05 -1.6E-05  4.249E-03         +1.3E-05 -1.3E-05 phi(1020)           0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10223,,,,1.166E+00,+6.0E-03,-6.0E-03,3.75E-01,+3.5E-02,-3.5E-02,h(1)(1170)          0,   10223                          1.166E+00         +6.0E-03 -6.0E-03  3.75E-01          +3.5E-02 -3.5E-02 h(1)(1170)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10113,10213,,,1.2295E+00,+3.2E-03,-3.2E-03,1.42E-01,+9.0E-03,-9.0E-03,"b(1)(1235)        0,+","   10113   10213                  1.2295E+00        +3.2E-03 -3.2E-03  1.42E-01          +9.0E-03 -9.0E-03 b(1)(1235)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,20113,20213,,,1.23E+00,+4.0E-02,-4.0E-02,4.2E-01,+1.8E-01,-1.8E-01,"a(1)(1260)        0,+","   20113   20213                  1.23E+00          +4.0E-02 -4.0E-02  4.2E-01           +1.8E-01 -1.8E-01 a(1)(1260)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,225,,,,1.2754E+00,+8.0E-04,-8.0E-04,1.866E-01,+2.8E-03,-2.2E-03,f(2)(1270)          0,     225                          1.2754E+00        +8.0E-04 -8.0E-04  1.866E-01         +2.8E-03 -2.2E-03 f(2)(1270)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,20223,,,,1.2818E+00,+5.0E-04,-5.0E-04,2.30E-02,+1.1E-03,-1.1E-03,f(1)(1285)          0,   20223                          1.2818E+00        +5.0E-04 -5.0E-04  2.30E-02          +1.1E-03 -1.1E-03 f(1)(1285)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,100221,,,,1.294E+00,+4.0E-03,-4.0E-03,5.5E-02,+5.0E-03,-5.0E-03,eta(1295)           0,  100221                          1.294E+00         +4.0E-03 -4.0E-03  5.5E-02           +5.0E-03 -5.0E-03 eta(1295)           0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,100111,100211,,,1.30E+00,+1.0E-01,-1.0E-01,4.0E-01,+2.0E-01,-2.0E-01,"pi(1300)          0,+","  100111  100211                  1.30E+00          +1.0E-01 -1.0E-01  4.0E-01           +2.0E-01 -2.0E-01 pi(1300)          0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,115,215,,,1.3182E+00,+6.0E-04,-6.0E-04,1.07E-01,+5.0E-03,-5.0E-03,"a(2)(1320)        0,+","     115     215                  1.3182E+00        +6.0E-04 -6.0E-04  1.07E-01          +5.0E-03 -5.0E-03 a(2)(1320)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10221,,,,1.35E+00,+1.5E-01,-1.5E-01,3.5E-01,+1.5E-01,-1.5E-01,f(0)(1370)          0,   10221                          1.35E+00          +1.5E-01 -1.5E-01  3.5E-01           +1.5E-01 -1.5E-01 f(0)(1370)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9020221,,,,1.4087E+00,+2.0E-03,-1.2E-03,5.03E-02,+2.5E-03,-2.5E-03,eta(1405)           0, 9020221                          1.4087E+00        +2.0E-03 -1.2E-03  5.03E-02          +2.5E-03 -2.5E-03 eta(1405)           0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10333,,,,1.409E+00,+9.0E-03,-8.0E-03,7.8E-02,+1.1E-02,-1.1E-02,h(1)(1415)          0,   10333                          1.409E+00         +9.0E-03 -8.0E-03  7.8E-02           +1.1E-02 -1.1E-02 h(1)(1415)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,20333,,,,1.4284E+00,+1.5E-03,-1.3E-03,5.67E-02,+3.3E-03,-3.3E-03,f(1)(1420)          0,   20333                          1.4284E+00        +1.5E-03 -1.3E-03  5.67E-02          +3.3E-03 -3.3E-03 f(1)(1420)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,100223,,,,1.41E+00,+6.0E-02,-6.0E-02,2.9E-01,+1.9E-01,-1.9E-01,omega(1420)         0,  100223                          1.41E+00          +6.0E-02 -6.0E-02  2.9E-01           +1.9E-01 -1.9E-01 omega(1420)         0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10111,10211,,,1.439E+00,+3.4E-02,-3.4E-02,2.58E-01,+1.4E-02,-1.4E-02,"a(0)(1450)        0,+","   10111   10211                  1.439E+00         +3.4E-02 -3.4E-02  2.58E-01          +1.4E-02 -1.4E-02 a(0)(1450)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,100113,100213,,,1.465E+00,+2.5E-02,-2.5E-02,4.0E-01,+6.0E-02,-6.0E-02,"rho(1450)         0,+","  100113  100213                  1.465E+00         +2.5E-02 -2.5E-02  4.0E-01           +6.0E-02 -6.0E-02 rho(1450)         0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,100331,,,,1.476E+00,+4.0E-03,-4.0E-03,9.6E-02,+9.0E-03,-9.0E-03,eta(1475)           0,  100331                          1.476E+00         +4.0E-03 -4.0E-03  9.6E-02           +9.0E-03 -9.0E-03 eta(1475)           0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9030221,,,,1.522E+00,+2.5E-02,-2.5E-02,1.08E-01,+3.3E-02,-3.3E-02,f(0)(1500)          0, 9030221                          1.522E+00         +2.5E-02 -2.5E-02  1.08E-01          +3.3E-02 -3.3E-02 f(0)(1500)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,335,,,,1.5173E+00,+2.4E-03,-2.4E-03,7.2E-02,+7.0E-03,-6.0E-03,f(2)'(1525)         0,     335                          1.5173E+00        +2.4E-03 -2.4E-03  7.2E-02           +7.0E-03 -6.0E-03 f(2)'(1525)         0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9010225,,,,1.571E+00,+1.3E-02,-1.3E-02,1.33E-01,+2.3E-02,-2.3E-02,f(2)(1565)          0, 9010225                          1.571E+00         +1.3E-02 -1.3E-02  1.33E-01          +2.3E-02 -2.3E-02 f(2)(1565)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9010113,9010213,,,1.645E+00,+4.0E-02,-1.7E-02,3.7E-01,+5.0E-02,-6.0E-02,"pi(1)(1600)       0,+"," 9010113 9010213                  1.645E+00         +4.0E-02 -1.7E-02  3.7E-01           +5.0E-02 -6.0E-02 pi(1)(1600)       0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9020113,9020213,,,1.655E+00,+1.6E-02,-1.6E-02,2.5E-01,+4.0E-02,-4.0E-02,"a(1)(1640)        0,+"," 9020113 9020213                  1.655E+00         +1.6E-02 -1.6E-02  2.5E-01           +4.0E-02 -4.0E-02 a(1)(1640)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10225,,,,1.617E+00,+5.0E-03,-5.0E-03,1.81E-01,+1.1E-02,-1.1E-02,eta(2)(1645)        0,   10225                          1.617E+00         +5.0E-03 -5.0E-03  1.81E-01          +1.1E-02 -1.1E-02 eta(2)(1645)        0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,30223,,,,1.670E+00,+3.0E-02,-3.0E-02,3.15E-01,+3.5E-02,-3.5E-02,omega(1650)         0,   30223                          1.670E+00         +3.0E-02 -3.0E-02  3.15E-01          +3.5E-02 -3.5E-02 omega(1650)         0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,227,,,,1.667E+00,+4.0E-03,-4.0E-03,1.68E-01,+1.0E-02,-1.0E-02,omega(3)(1670)      0,     227                          1.667E+00         +4.0E-03 -4.0E-03  1.68E-01          +1.0E-02 -1.0E-02 omega(3)(1670)      0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10115,10215,,,1.6706E+00,+2.9E-03,-1.2E-03,2.58E-01,+8.0E-03,-9.0E-03,"pi(2)(1670)       0,+","   10115   10215                  1.6706E+00        +2.9E-03 -1.2E-03  2.58E-01          +8.0E-03 -9.0E-03 pi(2)(1670)       0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,100333,,,,1.680E+00,+2.0E-02,-2.0E-02,1.5E-01,+5.0E-02,-5.0E-02,phi(1680)           0,  100333                          1.680E+00         +2.0E-02 -2.0E-02  1.5E-01           +5.0E-02 -5.0E-02 phi(1680)           0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,117,217,,,1.6888E+00,+2.1E-03,-2.1E-03,1.61E-01,+1.0E-02,-1.0E-02,"rho(3)(1690)      0,+","     117     217                  1.6888E+00        +2.1E-03 -2.1E-03  1.61E-01          +1.0E-02 -1.0E-02 rho(3)(1690)      0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,30113,30213,,,1.720E+00,+2.0E-02,-2.0E-02,2.5E-01,+1.0E-01,-1.0E-01,"rho(1700)         0,+","   30113   30213                  1.720E+00         +2.0E-02 -2.0E-02  2.5E-01           +1.0E-01 -1.0E-01 rho(1700)         0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9000115,9000215,,,1.706E+00,+1.4E-02,-1.4E-02,3.8E-01,+6.0E-02,-5.0E-02,"a(2)(1700)        0,+"," 9000115 9000215                  1.706E+00         +1.4E-02 -1.4E-02  3.8E-01           +6.0E-02 -5.0E-02 a(2)(1700)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10331,,,,1.733E+00,+8.0E-03,-7.0E-03,1.50E-01,+1.2E-02,-1.0E-02,f(0)(1710)          0,   10331                          1.733E+00         +8.0E-03 -7.0E-03  1.50E-01          +1.2E-02 -1.0E-02 f(0)(1710)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9010111,9010211,,,1.810E+00,+9.0E-03,-1.1E-02,2.15E-01,+7.0E-03,-8.0E-03,"pi(1800)          0,+"," 9010111 9010211                  1.810E+00         +9.0E-03 -1.1E-02  2.15E-01          +7.0E-03 -8.0E-03 pi(1800)          0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,337,,,,1.854E+00,+7.0E-03,-7.0E-03,8.7E-02,+2.8E-02,-2.3E-02,phi(3)(1850)        0,     337                          1.854E+00         +7.0E-03 -7.0E-03  8.7E-02           +2.8E-02 -2.3E-02 phi(3)(1850)        0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10335,,,,1.842E+00,+8.0E-03,-8.0E-03,2.25E-01,+1.4E-02,-1.4E-02,eta(2)(1870)        0,   10335                          1.842E+00         +8.0E-03 -8.0E-03  2.25E-01          +1.4E-02 -1.4E-02 eta(2)(1870)        0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9050225,,,,1.936E+00,+1.2E-02,-1.2E-02,4.64E-01,+2.4E-02,-2.4E-02,f(2)(1950)          0, 9050225                          1.936E+00         +1.2E-02 -1.2E-02  4.64E-01          +2.4E-02 -2.4E-02 f(2)(1950)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,119,219,,,1.967E+00,+1.6E-02,-1.6E-02,3.24E-01,+1.5E-02,-1.8E-02,"a(4)(1970)        0,+","     119     219                  1.967E+00         +1.6E-02 -1.6E-02  3.24E-01          +1.5E-02 -1.8E-02 a(4)(1970)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9060225,,,,2.01E+00,+6.0E-02,-8.0E-02,2.0E-01,+6.0E-02,-6.0E-02,f(2)(2010)          0, 9060225                          2.01E+00          +6.0E-02 -8.0E-02  2.0E-01           +6.0E-02 -6.0E-02 f(2)(2010)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9050221,,,,1.9820E+00,+5.0E-02,-3.0E-03,4.4E-01,+5.0E-02,-5.0E-02,f(0)(2020)          0, 9050221                          1.9820E+00        +5.0E-02 -3.0E-03  4.4E-01           +5.0E-02 -5.0E-02 f(0)(2020)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,229,,,,2.018E+00,+1.1E-02,-1.1E-02,2.37E-01,+1.8E-02,-1.8E-02,f(4)(2050)          0,     229                          2.018E+00         +1.1E-02 -1.1E-02  2.37E-01          +1.8E-02 -1.8E-02 f(4)(2050)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9070225,,,,2.157E+00,+1.2E-02,-1.2E-02,1.52E-01,+3.0E-02,-3.0E-02,f(2)(2150)          0, 9070225                          2.157E+00         +1.2E-02 -1.2E-02  1.52E-01          +3.0E-02 -3.0E-02 f(2)(2150)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9080225,,,,2.297E+00,+2.8E-02,-2.8E-02,1.5E-01,+4.0E-02,-4.0E-02,f(2)(2300)          0, 9080225                          2.297E+00         +2.8E-02 -2.8E-02  1.5E-01           +4.0E-02 -4.0E-02 f(2)(2300)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9090225,,,,2.346E+00,+2.1E-02,-1.0E-02,3.31E-01,+2.7E-02,-1.8E-02,f(2)(2340)          0, 9090225                          2.346E+00         +2.1E-02 -1.0E-02  3.31E-01          +2.7E-02 -1.8E-02 f(2)(2340)          0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,321,,,,4.93677E-01,+1.5E-05,-1.5E-05,5.317E-17,+9.0E-20,-9.0E-20,K                   +,     321                          4.93677E-01       +1.5E-05 -1.5E-05  5.317E-17         +9.0E-20 -9.0E-20 K                   +,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,311,,,,4.97611E-01,+1.3E-05,-1.3E-05,,,,K                   0,     311                          4.97611E-01       +1.3E-05 -1.3E-05                                      K                   0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,310,,,,4.97611E-01,+1.3E-05,-1.3E-05,7.3508E-15,+2.9E-18,-2.9E-18,K(S)                0,     310                          4.97611E-01       +1.3E-05 -1.3E-05  7.3508E-15        +2.9E-18 -2.9E-18 K(S)                0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,130,,,,4.97611E-01,+1.3E-05,-1.3E-05,1.287E-17,+5.0E-20,-5.0E-20,K(L)                0,     130                          4.97611E-01       +1.3E-05 -1.3E-05  1.287E-17         +5.0E-20 -5.0E-20 K(L)                0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,9000311,9000321,,,8.38E-01,+1.1E-02,-1.1E-02,4.63E-01,+2.7E-02,-2.7E-02,"K(0)*(700)        0,+"," 9000311 9000321                  8.38E-01          +1.1E-02 -1.1E-02  4.63E-01          +2.7E-02 -2.7E-02 K(0)*(700)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,313,,,,8.9555E-01,+2.0E-04,-2.0E-04,4.73E-02,+5.0E-04,-5.0E-04,K*(892)             0,     313                          8.9555E-01        +2.0E-04 -2.0E-04  4.73E-02          +5.0E-04 -5.0E-04 K*(892)             0,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,323,,,,8.9167E-01,+2.6E-04,-2.6E-04,5.14E-02,+8.0E-04,-8.0E-04,K*(892)             +,     323                          8.9167E-01        +2.6E-04 -2.6E-04  5.14E-02          +8.0E-04 -8.0E-04 K*(892)             +,Raw PDG mass_width file values. Confirm units before derived use.
PDG_MASS_WIDTH_2025,10313,10323,,,1.253E+00,+7.0E-03,-7.0E-03,9.0E-02,+2.0E-02,-2.0E-02,"K(1)(1270)        0,+","   10313   10323                  1.253E+00         +7.0E-03 -7.0E-03  9.0E-02           +2.0E-02 -2.0E-02 K(1)(1270)        0,+",Raw PDG mass_width file values. Confirm units before derived use.
